"МАКСИДИН 0,4 (MAXIDIN 0,4) раствор д/инъекций";"Раствор для инъекций бесцветный, прозрачный."
"МИЛЬБЕМАКС® (MILBEMAX®) для собак 2.5+25 мг";"Таблетки для перорального применения (для щенков и маленьких собак) белого цвета, овальной формы, с оттиском ""AA"" на одной стороне и оттиском ""NA"" на другой стороне, с линией разлома с обеих сторон."
"МИЛЬБЕМАКС® (MILBEMAX®) для собак 12.5+125 мг";"Таблетки для перорального применения (для крупных собак) белого цвета, круглой формы, с оттиском ""CCA"" на одной стороне и оттиском ""NA"" на другой стороне."
"АТОПИКА® (ATOPICA®) капсулы 10 мг";"Капсулы для перорального применения мягкие желатиновые, овальной формы, желтовато-белого цвета с маркировкой ""NVR 10 mg"" на одной стороне."
"АТОПИКА® (ATOPICA®) капсулы 25 мг";"Капсулы для перорального применения мягкие желатиновые, овальной формы, серо-голубого цвета с маркировкой ""NVR 25 mg"" на одной стороне."
"АТОПИКА® (ATOPICA®) капсулы 50 мг";"Капсулы для перорального применения мягкие желатиновые, овальной формы, желтовато-белого цвета с маркировкой ""NVR 50 mg"" на одной стороне."
"АТОПИКА® (ATOPICA®) капсулы 100 мг";"Капсулы для перорального применения мягкие желатиновые, овальной формы, серо-голубого цвета с маркировкой ""NVR 100 mg"" на одной стороне."
"ФИПРИСТ® КОМБО (FYPRYST® COMBO) раствор д/наружного применения: 90 мг, 100 мг";"Раствор для наружного применения прозрачный, желтого цвета, без частиц."
"ИВЕРМЕК OR (IVERMEK OR)";"Раствор для орального применения прозрачный, опалесцирующий, бесцветный или светло-желтого цвета."
"ЛЕКСОФЛОН® OR (LEXOFLON® OR)";"Раствор для орального применения прозрачный, от зелено-желтого до коричнево-желтого цвета."
"ЦИФЛУНИТ® ФЛОК (CYFLUNIT FLOCK) раствор д/наружного применения";"Раствор для наружного применения от светло-желтого до желто-коричневого цвета, прозрачный, маслянистый."
"РИКАЗОЛ® (RICAZOL) раствор д/инъекций";"Раствор для инъекций прозрачный, от розово-желтого до коричнево-желтого цвета."
"ЦЕФТОНИТ® ФОРТЕ (CEFTONIT FORTE) сусп. д/инъекций";"Суспензия для инъекций от белого до кремового цвета; при хранении допускается расслоение, исчезающее при взбалтывании."
"НИТОКС® ФОРТЕ (NITOX® FORTE) раствор д/инъекций";"Раствор для инъекций вязкий, от зелено-коричневого до темно-коричневого цвета."
"МЕРАДОК (MERADOK) раствор д/инъекций";"Раствор для инъекций прозрачный, от светло-желтого до желтого цвета."
"ФИПРИСТ® КОМБО (FYPRYST® COMBO) раствор д/наружного применения: 100 мг, 120 мг";"Раствор для наружного применения прозрачный, желтого цвета, без частиц."
"ОТИФРИ (OTIFREE)";"Гигиенический лосьон для обработки ушей."
"ЭНРОНИТ® OR (ENRONIT® OR)";"Раствор для орального применения прозрачный, желтого цвета, с легкой опалесценцией; при хранении допускается образование небольшого количества взвеси (активных полипептидов), исчезающей при встряхивании."
"ЭНРОНИТ® (ENRONIT) раствор д/инъекций";"Раствор для инъекций прозрачный, светло-желтого цвета; при хранении допускается образование небольшого количества активных полипептидов, исчезающих при встряхивании с образованием раствора с легкой опалесценцией."
"ЦИФЛУНИТ-ON (CYFLUNIT-ON) раствор";"Раствор-концентрат от светло-желтого до желто-коричневого цвета; легко смешивается с водой."
"ЦИФЛУНИТ® (CYFLUNIT) раствор д/наружного применения";"Раствор для наружного применения желтого цвета, прозрачный, маслянистый."
"ЦЕФТОНИТ® (CEFTONIT) сусп. д/инъекций";"Суспензия для инъекций от белого до темно-кремового цвета."
"ФЛУНЕКС (FLUNEX) раствор д/инъекций";"Раствор для инъекций желтого цвета, прозрачный."
"ФЛОРОКС® (FLOROX) раствор д/инъекций";"Раствор для инъекций прозрачный, от светло-желтого до темно-желтого цвета."
"УТЕРОТОН® (UTEROTON) раствор д/инъекций";"Раствор для инъекций прозрачный, бесцветный."
"СТРОЛИТИН® (STROLITINE) раствор";"Раствор прозрачный, слегка вязкий, желтоватого цвета; легко смешивающийся с водой."
"СЕПРАНОЛ (SEPRANOL)";"Таблетки для внутриматочного введения плоские, светло-желтого цвета."
"НИТОКС® 200 (NITOX® 200) раствор д/инъекций";"Раствор для инъекций прозрачный, слегка вязкий, коричневого цвета."
"НЕОЗИДИН М (NEOZIDIN М) раствор д/инъекций";"Раствор для инъекций прозрачный, оранжевого цвета."
"МАСТОМИЦИН® (MASTOMICIN)";"Гель для интрацистернального введения опалесцирующий, прозрачный, от бесцветного до желтого цвета."
"КЛОЗАТРЕМ® (CLOZATREM) раствор д/инъекций";"Раствор для инъекций прозрачный, от светло-желтого до желто-зеленого цвета."
"ИВЕРМЕК®-ON (IVERMEK®-ON) раствор";"Раствор-концентрат прозрачный, опалесцирующий, от бесцветного до желтого цвета; легко смешивающийся с водой."
"ДОКСИЛОКС OR (DOXYLOX OR)";"Раствор для орального применения прозрачный, от светло-коричневого до темно-коричневого цвета."
"ДИТРИМ® (DITRIM®) раствор д/инъекций";"Раствор для инъекций прозрачный, от желтого до коричнево-желтого цвета."
"БУТОФАН® (BUTOFAN) раствор д/инъекций";"Раствор для инъекций прозрачный, от розового до розово-красного цвета."
"АМОКСИЦИЛЛИН 150 (AMOXYCILLIN 150) сусп. д/инъекций";"Суспензия для инъекций от белого до светло-желтого цвета, маслянистая; при хранении допускается расслоение суспензии, исчезающее при взбалтывании."
"ПРОГЕСТАМАГ® (PROGESTAMAG) сусп. д/инъекций";"Суспензия для инъекций белого цвета, допускается бежевый оттенок."
"ЭНДОМЕТРАМАГ-ГРИН® (ENDOMETRAMAG-GREEN)";"Раствор для внутриматочного введения."
"СТАРТИН-ФИТО (STARTINUM-FITO)";"Порошок для перорального применения."
"ПИХТОИН® (PICHTOINUM) мазь д/наружного применения";"Мазь для наружного применения однородная, от светло-желтого до коричневого цвета."
"МАЗЬ ЯХАЛИМП (UNGUENTUM YAHALIMPUM) мазь д/наружного применения";"Мазь для наружного применения однородная, светло-желтого цвета, с запахом пихтового масла."
"МАЗЬ ЭКЗЕКОНТ (UNGUENTUM ECZECONTUM) мазь д/наружного применения";"Мазь для наружного применения однородная, красновато-коричневого цвета, со специфическим запахом."
"МАЗЬ ""ЯМ БК""® (UNGUENTUM ""YAM BK"") мазь д/наружного применения";"Мазь для наружного применения от серого до коричневого цвета."
"ЛЕРСИН® (LERSINUM) порошок";"Порошок."
"КРЕОЛИН-Х (KREOLIN-X) раствор д/наружного применения 2.5%";"Раствор для наружного применения в виде однородной, маслянистой жидкости, прозрачной в тонком слое, с запахом каменноугольного масла, от темно-коричневого до черно-бурого цвета; с водой образует эмульсию молочно-белого или молочно-серого цвета."
"КРЕОЛИН-Х (KREOLIN-X) раствор д/наружного применения 5%";"Раствор для наружного применения в виде однородной, маслянистой жидкости, прозрачной в тонком слое, с запахом каменноугольного масла, от темно-коричневого до черно-бурого цвета; с водой образует эмульсию молочно-белого или молочно-серого цвета."
"КАСЕПТУРИН (KASEPTURINUM) раствор д/наружного применения";"Раствор для наружного применения"
"ЙОДТРИЭТИЛЕНГЛИКОЛЬ (ИТЭГ)-А (IODTRIETHYLENGLICOLUM (ITEG)- A)";"Раствор для аэрозольного применения однородный, темно-красного цвета, с запахом йода."
"ЙОДИНОКОЛЬ (IODINOKOLUM)";"Раствор для аэрозольного применения маслянистый, однородный, от сине-зеленоватого до темно-синего цвета, с запахом молочной кислоты и йода; смешивается с водой в любых соотношениях и легко распыляющуюся аэрозольными аппаратами, образуя устойчивый синий туман."
"ЙОД ОДНОХЛОРИСТЫЙ (IODUM MONOCHLORATUM) раствор д/наружного применения";"Раствор для наружного применения прозрачный, оранжево-желтого цвета, с резким запахом соляной кислоты; на воздухе дымит; в воде и спиртах смешивается в любых соотношениях."
"БИОРЕКС-ГХ (BIOREX-GH) раствор д/наружного применения 2.5%";"Раствор для наружного применения однородный, маслянистый, прозрачный, желто-оранжевого цвета; допускается опалесценция; с водой образует эмульсию молочно-белого цвета."
"БИОРЕКС-ГХ (BIOREX-GH) раствор д/наружного применения 5%";"Раствор для наружного применения однородный, маслянистый, прозрачный, желто-оранжевого цвета; допускается опалесценция; с водой образует эмульсию молочно-белого цвета."
"БУТОФАН® OR (BUTOFAN OR) раствор";"Раствор прозрачный, от розового до розово-красного цвета; легко смешивается с водой."
"АМОКСИГАРД (AMOXYGARD) сусп. д/инъекций";"Суспензия для инъекций маслянистая, светло-кремового цвета."
"АЗИТРОНИТ® (AZITHRONIT) раствор д/инъекций";"Раствор для инъекций прозрачный, от бесцветного до желтого цвета."
"АЛЬВЕТ®-СУСПЕНЗИЯ (ALVET-SUSPENSION)";"Суспензия для орального применения 10% от молочно-белого до светло-серого цвета, однородная; при хранении допускается расслоение, исчезающее при взбалтывании."
"ЦИМАЛДЖЕКС (CIMALGEX®) таб. 8 мг";"Таблетки для перорального применения от белого до белого с бежевым оттенком цвета с коричневыми вкраплениями, продолговатой формы с разделительными насечками (делимые)."
"ЦИМАЛДЖЕКС (CIMALGEX®) таб. 30 мг";"Таблетки для перорального применения от белого до белого с бежевым оттенком цвета с коричневыми вкраплениями, продолговатой формы с разделительными насечками (делимые)."
"ЦИМАЛДЖЕКС (CIMALGEX®) таб. 80 мг";"Таблетки для перорального применения от белого до белого с бежевым оттенком цвета с коричневыми вкраплениями, продолговатой формы с разделительными насечками (делимые)."
"ПРОПАЛИН (PROPALIN®) раствор д/перорального применения";"Раствор для перорального применения прозрачный, бесцветный."
"ИПАКИТИНЕ (IPAKITINE)";"Порошок для перорального применения кремового цвета, нерастворимый в воде."
"ОРИДЭРМИЛ (ORIDERMYL®)";"Мазь для аурикулярного применения бледно-желтого цвета, без запаха."
"АЛЮСПРЕЙ (ALUSPRAY®) аэрозоль д/наружн.прим.";"Аэрозоль для наружного применения непрозрачный, серебристо-серого цвета, маслянистый по консистенции."
"АСД фракция 3 (ASD( )fraction 3)";"Раствор для наружного и внутриматочного применения в виде густой жидкости от темно-коричневого до черного цвета, со специфическим запахом."
"СУВАКЦИН PCV MH (SUVAXYN PCV MH) сусп. д/инъекций";"Суспензия для инъекций белого цвета."
"СУВАКЦИН PCV2 (SUVAXYN PCV2) сусп. д/инъекций";"Суспензия для инъекций от бежевого до светло-коричневого цвета."
"ПУЛВАК E. coli (POULVAC E. coli)";"Лиофилизат для приготовления раствора для выпаивания и распыления сухая, однородная, пористая масса светло-желтого цвета, легко растворимая в воде без образования хлопьев и осадка."
"ПУЛВАК БУРСА F (POULVAC BURSA F) лиофилизат д/пригот. р-ра д/приема внутрь";"Лиофилизат для приготовления раствора для выпаивания (живая вакцина) сухая, однородная, пористая масса светло-коричневого цвета, хорошо ресуспендируется в воде с образованием гомогенной взвеси."
"ПУЛВАК IB QX (POULVAC IB QX)";"Масса лиофилизированная сухая, пористая, однородная, светло-желтого цвета, легко растворимая в воде без образования хлопьев и осадка."
"ДРАКСИН (DRAXXIN) раствор д/инъекций: 25 мг";"Раствор для инъекций прозрачный, бесцветный."
"АПОКВЕЛ (APOQUEL) 3.6 мг";"Таблетки для перорального применения, покрытые пленочной оболочкой, белого или почти белого цвета, овальные, с разделительной бороздкой посередине и с надписью на обеих сторонах таблетки ""AQ"" и ""S""."
"АПОКВЕЛ (APOQUEL) 5.4 мг";"Таблетки для перорального применения, покрытые пленочной оболочкой, белого или почти белого цвета, овальные, с разделительной бороздкой посередине и с надписью на обеих сторонах таблетки ""M""."
"АПОКВЕЛ (APOQUEL) 16 мг";"Таблетки для перорального применения, покрытые пленочной оболочкой, белого или почти белого цвета, овальные, с разделительной бороздкой посередине и с надписью на обеих сторонах таблетки ""L""."
"ЭНРОКСИЛ® ТАБЛЕТКИ СО ВКУСОМ МЯСА (ENROXIL® TABLETS WITH MEAT FLAVOUR) таб. 15 мг";"Таблетки круглые, слегка двояковыпуклые, светло-коричневого цвета с белыми или темными вкраплениями, с риской на одной стороне и со скошенной кромкой; выпускаются в 3 дозировках: массой 0.055 г, 0.183 г и 0.55 г."
"ЭНРОКСИЛ® ТАБЛЕТКИ СО ВКУСОМ МЯСА (ENROXIL® TABLETS WITH MEAT FLAVOUR) таб. 50 мг";"Таблетки круглые, слегка двояковыпуклые, светло-коричневого цвета с белыми или темными вкраплениями, с риской на одной стороне и со скошенной кромкой; выпускаются в 3 дозировках: массой 0.055 г, 0.183 г и 0.55 г."
"ЭНРОКСИЛ® ТАБЛЕТКИ СО ВКУСОМ МЯСА (ENROXIL® TABLETS WITH MEAT FLAVOUR) таб. 150 мг";"Таблетки круглые, слегка двояковыпуклые, светло-коричневого цвета с белыми или темными вкраплениями, с риской на одной стороне и со скошенной кромкой; выпускаются в 3 дозировках: массой 0.055 г, 0.183 г и 0.55 г."
"ЭкоСайд Адванс (ECOCID ADVANCED)";"Порошок гранулированный белого цвета, с включениями желтого, голубого и черного цветов, легко растворим в воде."
"ФЛУБАКТИН® (FLUBACTIN®)";"Раствор для орального применения."
"ФИПРИСТ® СПРЕЙ (FYPRYST® SPRAY) раствор д/наружного применения";"Раствор для наружного применения бесцветный, прозрачный."
"ТРИСУЛЬФОН® (TRISULFON®)";"Порошок для орального применения белого цвета, сыпучий, без запаха, растворимый в воде."
"ТРИСУЛЬФОН® СУСПЕНЗИЯ ДЛЯ ОРАЛЬНОГО ПРИМЕНЕНИЯ (TRISULFON® ORAL SUSPENSION)";"Суспензия для орального применения белого или кремового цвета."
"СОЛВИМИН® СЕЛЕН (SOLVIMIN® SELEN)";"Порошок для перорального применения светло-оранжевого цвета, со специфическим запахом."
"РИКАРФА® (RYCARFA) раствор д/инъекций";"Раствор для инъекций бледно-желтого цвета, прозрачный."
"МИЛПРАЗОН® ТАБЛЕТКИ ДЛЯ СОБАК (MILPRAZON® TABLETS FOR DOGS) 2.5+25 мг";"Таблетки для орального применения (для щенков и маленьких собак весом до 5 кг) желтовато-белого цвета с коричневыми вкраплениями, овальные, двояковыпуклые; с риской на одной стороне, со вкусом мяса."
"МИЛПРАЗОН® ТАБЛЕТКИ ДЛЯ СОБАК (MILPRAZON® TABLETS FOR DOGS) 12.5+125 мг";"Таблетки для орального применения (для собак весом более 5 кг) желтовато-белого цвета с коричневыми вкраплениями, круглые, двояковыпуклые; со вкусом мяса."
"МИЛПРАЗОН® ТАБЛЕТКИ ДЛЯ КОШЕК (MILPRAZON® TABLETS FOR CATS) 4+10 мг";"Таблетки для орального применения (для котят и кошек весом до 2 кг) покрытые пленочной оболочкой, коричнево-желтого цвета, овальные, двояковыпуклые; с риской на одной стороне, со вкусом мяса."
"МИЛПРАЗОН® ТАБЛЕТКИ ДЛЯ КОШЕК (MILPRAZON® TABLETS FOR CATS) 16+40 мг";"Таблетки для орального применения (для кошек весом более 2 кг) покрытые пленочной оболочкой, коричнево-красного цвета, овальные, двояковыпуклые; с риской на одной стороне, со вкусом мяса."
"КОКЦИСАН 120Г ГРАНУЛЯТ (KOKCISAN 120G GRANULATE)";"Порошок микрогранулированный для орального применения."
"КАЛЬФОСЕТ® (CALFOSET®) раствор д/инъекций";"Раствор для инъекций."
"ГИРАКСА® (GIRAXA®)";"Порошок для орального применения."
"ФЛОРОН® 4% (FLORON® 4%)";"Порошок для орального применения от белого до слегка коричневатого цвета, может включать окрашенные частицы."
"ЭГОЦИН 155 (EGOCIN 155)";"Порошок для орального применения кремового цвета."
"ЭНРОКСИЛ® 10% РАСТВОР ДЛЯ ИНЪЕКЦИЙ (ENROXIL® 10% SOLUTIO PRO INJECTIONIBUS) раствор д/инъекций";"Раствор для инъекций прозрачный, желтоватого цвета."
"ЭНРОКСИЛ® 10% РАСТВОР ДЛЯ ПЕРОРАЛЬНОГО ПРИМЕНЕНИЯ (ENROXIL® 10% SOLUTIO PER USUM ORAL) раствор д/перорального применения";"Раствор для перорального применения."
"ЭНРОКСИЛ® 5% ПОРОШОК (ENROXIL® 5% POWDER)";"Порошок для орального применения."
"ЭНРОКСИЛ® 5% РАСТВОР ДЛЯ ИНЪЕКЦИЙ (ENROXIL® 5% SOLUTIO PRO INJECTIONIBUS) раствор д/инъекций";"Раствор для инъекций прозрачный, желтоватого цвета."
"ФЛОРОН® 30% (FLORON® 30%) раствор д/инъекций";"Раствор для инъекций."
"ФЛОРОН® 10% (FLORON® 10%)";"Раствор для орального применения."
"ФЛОРОН® 2% ПОРОШОК (FLORON® 2% POWDER)";"Порошок для орального применения от белого до почти белого цвета, сыпучий, без запаха; практически нерастворимый в воде."
"ЭГОЦИН® 20 ПОРОШОК (EGOCIN® 20 POWDER)";"Порошок для орального применения желтовато-кремового цвета."
"ЭГОЦИН® L.A. (EGOCIN® L.A.) раствор д/инъекций";"Раствор для инъекций."
"ФЛУБАКТИН® 10% (FLUBACTIN® 10%)";"Порошок для орального применения."
"ФЛИМАБЕНД (FLIMABEND)";"Суспензия для орального применения от белого до кремового цвета."
"ФИПРИСТ® СПОТ ОН (FYPRYST® SPOT ON) раствор д/наружного применения";"Раствор для наружного применения прозрачный, желтоватого цвета."
"ЭНРОКСИЛ® МАКС (ENROXIL® MAX) раствор д/инъекций";"Раствор для инъекций прозрачный, слегка желтоватого цвета."
"ГЕНТАМИЦИН ПОРОШОК (GENTAMICIN PULVIS)";"Порошок для орального применения."
"ТИАВАЛТ® (TYAWALT®)";"Порошок микрогранулированный для орального применения в виде мелких гранул белого или почти белого цвета, со слабым специфическим запахом, легко растворим в воде."
"РИКАРФА® ТАБЛЕТКИ СО ВКУСОМ МЯСА (RYCARFA® TABLETS WITH MEAT FLAVOUR) 20 мг";"Таблетки для орального применения темно-коричневого цвета с темными вкраплениями, с риской на одной стороне и со скошенной кромкой."
"РИКАРФА® ТАБЛЕТКИ СО ВКУСОМ МЯСА (RYCARFA® TABLETS WITH MEAT FLAVOUR) 50 мг";"Таблетки для орального применения темно-коричневого цвета с темными вкраплениями, с риской на одной стороне и со скошенной кромкой."
"РИКАРФА® ТАБЛЕТКИ СО ВКУСОМ МЯСА (RYCARFA® TABLETS WITH MEAT FLAVOUR) 100 мг";"Таблетки для орального применения темно-коричневого цвета с темными вкраплениями, с риской на одной стороне и со скошенной кромкой."
"МИЗОКСИН (MISOXIN)";"Порошок для орального применения."
"МАРФЛОКСИН® 10% РАСТВОР ДЛЯ ИНЪЕКЦИЙ (MARFLOXIN® 10% SOLUTION FOR INJECTION) раствор д/инъекций";"Раствор для инъекций прозрачный, зеленовато-желтого или коричневато-желтого цвета."
"МАРФЛОКСИН® 2% РАСТВОР ДЛЯ ИНЪЕКЦИЙ (MARFLOXIN® 2% SOLUTION FOR INJECTION) раствор д/инъекций";"Раствор для инъекций прозрачный, от зеленовато-желтого до коричневато-желтого цвета."
"МАРФЛОКСИН® ТАБЛЕТКИ (MARFLOXIN® TABLETS) 5 мг";"Таблетки для орального применения круглые, двояковыпуклые, бледного желто-коричневого цвета с возможными темными и белыми вкраплениями, с риской на одной стороне, масса таблетки 70 мг; таблетку можно разделить на половинки."
"МАРФЛОКСИН® ТАБЛЕТКИ (MARFLOXIN® TABLETS) 20 мг";"Таблетки для орального применения круглые, двояковыпуклые, бледного желто-коричневого цвета с возможными темными и белыми вкраплениями, с риской на одной стороне, масса таблетки 280 мг; таблетку можно разделить на половинки."
"МАРФЛОКСИН® ТАБЛЕТКИ (MARFLOXIN® TABLETS) 80 мг";"Таблетки для орального применения капсуловидные, двояковыпуклые, бледного желто-коричневого цвета с возможными темными и белыми вкраплениями, с риской на обеих сторонах, масса таблетки 1120 мг; таблетку можно разделить на половинки."
"АМАТИБ 80% ВОДОРАСТВОРИМЫЙ ПОРОШОК (AMATIB 80% WATER SOLUBLE POWDER)";"Порошок для орального применения белого или слегка желтоватого цвета."
"ДЕХИНЕЛ® ПЛЮС (DEHINEL® PLUS)";"Таблетки для орального применения."
"ДЕХИНЕЛ® ПЛЮС ТАБЛЕТКИ СО ВКУСОМ МЯСА (DEHINEL® PLUS TABLETS WITH MEAT FLAVOUR)";"Таблетки для орального применения желтого цвета с темными вкраплениями, круглые, со скошенными краями и крестовидной насечкой с одной стороны."
"ТОЛТАРОКС® (TOLTAROX®)";"Суспензия для орального применения белого или слегка желтоватого цвета, смешивается с водой в любой пропорции."
"ЛАВЕТА СУПЕР ДЛЯ СОБАК (LAVETA SUPER FOR DOG) жидкость";"Жидкость прозрачная, желтого цвета, со сладковатым запахом; смешивается с водой в любых соотношениях."
"ЭКОЦИД С (ECOCID S)";"Средство дезинфицирующее в виде гранулированного порошка розовато-серого цвета, со слабым запахом лимона; легко растворимо в воде."
"ЭКОЦИД (ECOCID)";"Средство дезинфицирующее в виде гранулированного порошка розово-серого цвета, с запахом лимона; хорошо растворимо в воде."
"КАПЛИ VERMICON LINE-ON-IMMOSHIELD ОТ ПАРАЗИТОВ (ANTIPARASITIC DROPS VERMICON LINE-ON-IMMOSHIELD) капли";"Капли для наружного применения прозрачные, маслянистые, со слабым специфическим запахом."
"ЛАКТИС ЗОО (LACTIS ZOO) жидкость";"Жидкость для приема внутрь и местного применения прозрачная, без запаха."
"ВОЛЬВАК® AE+FP MLV (VOLVAC® AE+FP MLV) лиофилизат д/пригот. р-ра д/инъекций";"Лиофилизат для приготовления раствора для инъекций (вакцина) в виде сухой однородной пористой массы бежевого цвета; разбавитель - прозрачная жидкость оранжевого цвета."
"ЭНТЕРИЗОЛ® ИЛЕИТИС (ENTERISOL® ILEITIS)";"Лиофилизат для приготовления суспензии для выпаивания (вакцина) в виде сухой однородной массы белого или серого цвета, разбавитель - бесцветная прозрачная жидкость."
"ВЕТМЕДИН® капсулы (VETMEDIN® capsules) капсулы 1.25 мг";"Капсулы твердые желатиновые, массой 161 мг."
"ВЕТМЕДИН® капсулы (VETMEDIN® capsules) капсулы 2.5 мг";"Капсулы твердые желатиновые, массой 261 мг."
"ВЕТМЕДИН® капсулы (VETMEDIN® capsules) капсулы 5 мг";"Капсулы твердые желатиновые, массой 344 мг."
"ВЕТМЕДИН® капсулы (VETMEDIN® capsules) капсулы 10 мг";"Капсулы твердые желатиновые, массой 536 мг."
"ВЕТМЕДИН® (VETMEDIN®) 1.25 мг";"Таблетки для перорального применения овальной формы, шероховатые, коричневого цвета с белыми вкраплениями, логотипом компании, символами и с линией для разлома на две равные части, массой 500 мг, 1000 мг и 2000 мг."
"ВЕТМЕДИН® (VETMEDIN®) 2.5 мг";"Таблетки для перорального применения овальной формы, шероховатые, коричневого цвета с белыми вкраплениями, логотипом компании, символами и с линией для разлома на две равные части, массой 500 мг, 1000 мг и 2000 мг."
"ВЕТМЕДИН® (VETMEDIN®) 5 мг";"Таблетки для перорального применения овальной формы, шероховатые, коричневого цвета с белыми вкраплениями, логотипом компании, символами и с линией для разлома на две равные части, массой 500 мг, 1000 мг и 2000 мг."
"ХЕЛАВИТ С (HELAVIT C) раствор";"Раствор темно-коричневого цвета, водный, без запаха."
"ХЕЛАВИТ РАСТВОР ДЛЯ ИНЪЕКЦИЙ (HELAVITUM SOLUTION PRO INJECTIONIBUS) раствор д/инъекций";"Раствор для инъекций."
"ХЕЛАВИТ В (HELAVIT B) раствор";"Раствор темно-коричневого цвета, водный, без запаха."
"ХЕЛАВИТ А (HELAVIT A) раствор";"Раствор темно-коричневого цвета, водный, без запаха."
"БЕАФАР ОШЕЙНИК ИНСЕКТОАКАРИЦИДНЫЙ ДЛЯ КОШЕК (BEAPHAR FLEA & TICK COLLAR FOR CAT)";"Инсектоакарицидный ошейник в виде полихлорвиниловой ленты с фиксатором и насечками, которые способствуют моментальному расстегиванию ошейника и быстрому освобождению животного; выпускаемые цвета ошейников: красный, желтый, оранжевый, зеленый, черный, синий, фиолетовый."
"БЕАФАР ОШЕЙНИК ИНСЕКТОАКАРИЦИДНЫЙ ДЛЯ СОБАК (BEAPHAR FLEA & TICK COLLAR FOR DOG)";"Инсектоакарицидный ошейник в виде полихлорвиниловой ленты с фиксатором и насечками, которые способствуют моментальному расстегиванию ошейника и быстрому освобождению животного; выпускаемые цвета ошейников: красный, желтый, оранжевый, зеленый, черный, синий, фиолетовый."
